Student ID;"ES 1.1 
(2 points)";"ES 1.2 
(3 points)";"ES 2.1
(2 points)";"ES 2.2
(3 points)";"ES 3.1
(1 points)";"ES 3.2
(2 points)";"ES 3.3
(2 points)";"ES 3.4
(2 points)";"ES 3.5
(3 points)";"ES 4.1
(15 points)";"ES 4.2
(10 points)";"ES 5.1
(2 points)";"ES 5.2
(10 points)";"ES 5.3
(3 points)";"ES 6.1
(25 points)";"ES 6.2
(15 points)";
1;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;3,00;25,00;13,00;
2;2,00;3,00;2,00;0,50;1,00;2,00;0,00;2,00;3,00;15,00;2,00;0,00;5,00;1,50;5,00;0,00;
3;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;1,0;5,0;3,0;18,0;15,0;
4;2,00;3,00;1,00;0,50;1,00;2,00;0,00;2,00;0,00;3,00;4,00;0,00;1,50;0,00;5,00;5,00;
5;2,00;3,00;2,00;1,50;1,00;2,00;2,00;2,00;3,00;3,00;2,00;1,50;9,00;1,50;2,00;1,00;
6;2,0;3,0;2,0;3,0;1,0;2,0;2,0;0,0;3,0;15,0;7,0;2,0;9,0;3,0;13,0;15,0;
7;2,00;3,00;1,00;1,50;1,00;2,00;2,00;2,00;3,00;15,00;10,00;1,00;2,50;0,00;20,00;12,00;
8;0,50;3,00;0,00;0,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
9;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
10;2,0;3,0;2,0;1,5;1,0;2,0;0,0;2,0;3,0;11,0;1,0;2,0;10,0;1,5;7,0;10,0;
11;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;12,00;3,00;2,00;8,00;1,50;12,00;5,00;
12;2,00;3,00;0,50;2,00;1,00;2,00;0,00;2,00;3,00;15,00;2,00;0,50;5,50;2,00;0,00;0,00;
13;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;3,0;14,5;10,0;2,0;2,0;3,0;25,0;15,0;
14;2,00;3,00;2,00;3,00;1,00;2,00;2,00;2,00;3,00;3,00;10,00;2,00;8,00;3,00;9,00;9,00;
15;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;4,0;1,5;2,0;15,0;
16;2,0;3,0;1,0;0,0;1,0;2,0;2,0;2,0;3,0;3,0;9,0;1,0;0,0;3,0;20,0;15,0;
17;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;10,0;3,0;24,0;15,0;
18;1,0;3,0;2,0;3,0;1,0;2,0;2,0;2,0;3,0;15,0;7,0;2,0;2,5;1,5;5,0;10,0;
19;2,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;3,00;1,50;2,00;1,50;5,00;4,00;
20;2,00;3,00;2,00;3,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;8,00;3,00;25,00;14,50;
22;2,00;3,00;1,00;0,50;1,00;2,00;2,00;0,00;3,00;4,00;0,00;0,00;0,00;1,50;10,00;10,00;
24;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;4,00;2,00;10,00;3,00;15,00;5,00;
25;2,00;3,00;2,00;0,00;1,00;2,00;2,00;2,00;3,00;15,00;5,00;2,00;10,00;1,50;2,00;5,00;
27;2,0;3,0;1,0;2,0;1,0;2,0;0,0;2,0;3,0;15,0;9,0;0,0;0,0;0,0;24,5;10,0;
28;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;0,0;15,0;8,5;2,0;4,0;3,0;19,0;13,0;
29;2,0;3,0;2,0;0,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;10,0;3,0;25,0;15,0;
30;2,00;3,00;2,00;2,00;1,00;2,00;2,00;2,00;3,00;12,00;8,00;1,00;5,00;1,50;4,00;5,00;
32;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;10,0;3,0;12,0;5,0;
33;2,00;3,00;2,00;1,50;1,00;0,00;0,00;2,00;3,00;3,00;3,00;1,00;7,50;1,50;0,00;0,00;
34;2,00;3,00;2,00;0,50;1,00;2,00;1,50;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;
36;2,0;3,0;1,0;0,0;1,0;1,0;0,0;2,0;3,0;13,0;9,0;2,0;10,0;3,0;16,0;13,0;
37;2,00;3,00;2,00;1,50;0,50;2,00;0,00;2,00;0,00;14,00;3,00;0,00;0,00;0,00;0,00;0,00;
38;2,00;3,00;2,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;4,00;1,00;2,50;1,50;0,00;0,00;
39;2,00;3,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;15,00;10,00;2,00;8,00;2,50;24,00;13,00;
41;2,0;3,0;2,0;3,0;1,0;2,0;2,0;2,0;3,0;13,0;10,0;2,0;10,0;3,0;25,0;15,0;
42;2,00;3,00;1,00;0,50;1,00;2,00;0,00;2,00;3,00;4,00;2,00;0,50;0,00;1,50;0,00;0,00;
44;2,00;3,00;2,00;3,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;3,00;24,00;13,50;
45;2,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;3,00;1,50;6,50;2,00;0,00;0,00;
46;2,00;3,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;4,00;4,00;0,00;0,00;0,00;5,00;0,00;
47;2,00;3,00;1,00;1,50;1,00;2,00;0,00;2,00;3,00;7,00;2,00;1,00;1,50;1,00;0,00;0,00;
48;2,0;3,0;2,0;3,0;1,0;2,0;2,0;2,0;3,0;15,0;7,0;0,0;2,5;2,0;10,0;15,0;
49;2,00;3,00;2,00;0,50;1,00;2,00;0,00;2,00;0,00;4,00;2,00;0,50;4,00;1,50;2,00;4,00;
51;1,50;3,00;0,50;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;
52;2,00;2,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;3,00;8,00;10,00;
53;1,0;3,0;1,0;1,0;1,0;2,0;2,0;2,0;3,0;15,0;7,0;1,0;8,0;1,5;12,0;10,0;
54;2,00;3,00;1,00;1,50;1,00;2,00;0,00;2,00;3,00;15,00;2,00;0,00;5,00;1,50;0,00;0,00;
55;2,00;3,00;2,00;1,50;1,00;2,00;2,00;2,00;3,00;4,00;7,00;0,00;0,00;0,00;7,00;0,00;
56;2,00;3,00;2,00;3,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;3,00;15,00;9,00;
57;0,50;2,00;1,00;0,50;1,00;2,00;0,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;5,00;4,00;
58;2,00;3,00;1,00;2,00;1,00;2,00;0,00;2,00;3,00;14,00;2,00;1,00;5,00;2,00;5,00;3,00;
59;2,0;3,0;2,0;0,0;1,0;2,0;2,0;2,0;3,0;3,0;7,0;2,0;8,0;3,0;0,0;0,0;
60;2,00;3,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;3,00;2,00;1,00;0,00;1,50;0,00;0,00;
61;1,50;1,50;2,00;2,00;1,00;2,00;0,00;2,00;3,00;15,00;4,00;0,50;3,00;1,00;19,00;0,00;
62;2,00;3,00;2,00;0,00;1,00;2,00;2,00;2,00;0,00;3,00;6,00;2,00;7,50;1,50;4,00;5,00;
63;2,0;3,0;2,0;2,0;1,0;2,0;2,0;2,0;3,0;7,0;6,0;2,0;10,0;3,0;12,0;10,0;
64;1,00;2,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;
66;2,0;3,0;2,0;3,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;8,0;3,0;18,0;10,0;
67;2,00;3,00;0,50;0,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;7,00;3,00;24,50;15,00;
68;2,00;2,00;1,00;3,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;3,00;19,00;14,00;
69;1,50;3,00;1,50;0,50;1,00;2,00;0,00;2,00;3,00;3,00;1,00;0,00;0,00;0,00;5,00;0,00;
70;2,00;3,00;2,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;8,50;1,00;0,00;0,00;12,00;5,00;
71;2,00;3,00;2,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;0,50;5,00;1,50;25,00;14,50;
72;2,0;3,0;2,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;7,0;2,0;10,0;3,0;24,0;15,0;
73;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;4,00;0,00;0,00;1,50;8,00;4,00;
74;1,5;2,0;1,5;0,0;1,0;2,0;0,0;2,0;3,0;3,0;2,0;0,0;0,0;0,0;0,0;0,0;
75;2,00;2,00;2,00;1,50;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;7,50;1,50;24,00;10,00;
76;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;2,0;15,0;10,0;2,0;10,0;3,0;24,0;12,0;
77;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;4,00;1,50;6,00;1,50;16,00;6,00;
78;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;4,0;0,0;5,0;1,5;24,5;10,0;
79;2,00;3,00;1,00;1,50;0,50;2,00;2,00;2,00;3,00;13,00;4,00;1,00;9,00;1,50;25,00;14,00;
80;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;7,00;4,00;0,00;7,50;1,50;5,00;10,00;
81;2,0;3,0;1,0;0,0;1,0;2,0;2,0;2,0;3,0;15,0;7,0;2,0;4,0;3,0;25,0;15,0;
82;2,00;3,00;1,00;0,50;1,00;2,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;
83;2,00;3,00;2,00;0,50;1,00;0,00;2,00;2,00;0,00;7,00;5,00;0,50;7,00;0,00;13,00;7,00;
85;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;3,0;13,0;10,0;2,0;0,0;1,5;25,0;12,0;
86;2,0;3,0;2,0;3,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;1,0;5,0;3,0;25,0;15,0;
87;2,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;1,50;10,00;8,00;
88;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;2,0;8,0;3,0;25,0;15,0;
89;2,0;3,0;1,5;0,0;1,0;2,0;0,0;2,0;3,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;
91;2,00;2,00;1,00;2,00;1,00;2,00;2,00;2,00;3,00;5,00;10,00;0,00;5,50;2,00;17,00;10,00;
92;2,00;3,00;2,00;0,50;1,00;2,00;0,00;2,00;0,00;15,00;3,00;1,00;2,50;1,00;0,00;0,00;
93;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;3,0;3,0;6,0;0,0;0,0;1,5;24,0;13,0;
94;2,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;3,00;15,00;8,50;2,00;9,00;2,00;25,00;13,00;
95;2,00;3,00;1,00;0,50;1,00;2,00;0,00;2,00;3,00;15,00;8,00;0,00;0,00;0,00;10,00;5,00;
96;2,0;3,0;2,0;1,5;1,0;2,0;2,0;2,0;3,0;15,0;7,0;2,0;10,0;3,0;12,0;10,0;
98;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;13,0;10,0;2,0;4,0;1,5;10,0;8,0;
99;2,00;2,00;0,00;0,00;1,00;2,00;0,00;2,00;3,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;
100;2,0;3,0;1,0;1,5;1,0;2,0;2,0;2,0;3,0;13,0;7,0;2,0;8,0;1,5;24,0;10,0;
101;2,00;2,00;1,00;2,00;1,00;2,00;1,50;2,00;2,00;5,00;1,00;0,00;0,00;1,50;4,00;5,00;
102;2,00;3,00;1,00;1,50;1,00;0,00;0,00;2,00;3,00;12,00;3,00;0,00;0,00;0,00;2,00;1,00;
103;2,00;3,00;1,00;1,50;1,00;2,00;0,00;2,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;
104;2,00;3,00;1,00;1,50;1,00;2,00;2,00;2,00;3,00;15,00;9,00;2,00;8,00;3,00;24,50;13,00;
106;2,00;3,00;1,00;1,50;1,00;2,00;2,00;2,00;3,00;7,00;7,50;1,00;1,50;1,50;25,00;10,00;
